Ref,Val,Package,PosX,PosY,Rot,Side
R39,150,R_0402_1005Metric,10.2738,26.533601,-90,bottom
R40,10,R_0402_1005Metric,-0.4312,29.0686,0,bottom
R41,1K,R_0402_1005Metric,3.6788,8.9622,-90,bottom
R42,1K,R_0402_1005Metric,4.8638,8.9622,-90,bottom
R43,1.1M,R_0402_1005Metric,17.896301,22.0761,0,bottom
R44,120K,R_0402_1005Metric,17.891302,21.0611,180,bottom
R45,10K,R_0402_1005Metric,20.5738,12.7986,90,bottom
R47,910K,R_0402_1005Metric,2.834397,23.616753,-90,bottom
R48,0,R_0402_1005Metric,-28.6162,6.5086,0,bottom
R49,0,R_0402_1005Metric,-33.5162,1.8436,90,bottom
R50,0,R_0402_1005Metric,-32.434327,1.844482,-90,bottom
R51,0,R_0402_1005Metric,20.5938,14.7986,90,bottom
R52,0,R_0402_1005Metric,-16.1512,5.3086,90,bottom
SW1,Reset,SW_SPST_B3U-1000P-B,-3.3562,26.8486,180,bottom
TP1,TestPoint,TestPoint_D0.75mm,-34.2062,12.4186,0,bottom
TP2,TestPoint,TestPoint_D0.75mm,-29.3062,1.3336,90,bottom
TP3,TestPoint,TestPoint_D0.75mm,-4.5662,0.5986,180,bottom
TP4,TestPoint,TestPoint_D0.75mm,-37.0612,9.1586,180,bottom
TP5,TestPoint,TP_smaller,-38.7612,13.7584,180,bottom
TP6,TestPoint,TestPoint_D0.75mm,-17.4112,4.8236,180,bottom
TP7,TestPoint,TestPoint_D0.75mm,18.8188,23.6136,180,bottom
TP8,TestPoint,TestPoint_D0.75mm,-13.8062,7.6686,180,bottom
TP9,TestPoint,TestPoint_D0.75mm,-21.2412,7.6486,180,bottom
TP10,TestPoint,TestPoint_D0.75mm,-2.1612,3.4036,180,bottom
TP11,TestPoint,TestPoint_D0.75mm,-22.7912,7.6536,180,bottom
TP12,TestPoint,TestPoint_D0.75mm,-30.6862,24.7286,180,bottom
TP14,TestPoint,TestPoint_D0.75mm,-30.6862,27.2686,180,bottom
TP16,TestPoint,TestPoint_D0.75mm,-3.4662,29.0836,180,bottom
TP17,TestPoint,TestPoint_D0.75mm,-29.9062,10.8636,180,bottom
TP21,TestPoint,TestPoint_D0.75mm,-30.6862,22.1886,180,bottom
TP22,TestPoint,TestPoint_D0.75mm,-30.6862,19.6486,180,bottom
U1,ST LIS2DH12TR,LGA-12_2x2mm_P0.5mm,-4.139294,6.552524,0,bottom
U2,BQ24079RGT,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,-33.005,5.2325,135,bottom
U3,ESP32-S3-WROOM-1,ESP32-S3-WROOM-1,-19.5072,21.9996,180,bottom
U4,IS31FL3731-QF,QFN-28-1EP_4x4mm_P0.4mm_EP2.3x2.3mm,-10.305,0.5225,0,bottom
U5,24P FPC 0.5MM,TE_2-1734839-4_1x24-1MP_P0.5mm_Horizontal,-0.000199,17.638401,180,bottom
U7,TPS61040DBV,SOT-23-5,17.398801,18.4561,-90,bottom
U8,TSOP75338,TSOP753,0,33,0,bottom
U10,SY8089,SOT-23-5,-39.56,7.4225,0,bottom
Y1,32.768KHz,Crystal_SMD_3215-2Pin_3.2x1.5mm,-3.316197,11.5586,180,bottom
C1-1,LED0603_NOOUTLINE,LED_0603_1608Metric,8.943153,-12.443153,135,top
C1-2,LED0603_NOOUTLINE,LED_0603_1608Metric,8.89,-15.15,135,top
C1-3,LED0603_NOOUTLINE,LED_0603_1608Metric,8.89,-17.69,135,top
C1-4,LED0603_NOOUTLINE,LED_0603_1608Metric,8.89,-20.23,135,top
C1-5,LED0603_NOOUTLINE,LED_0603_1608Metric,8.89,-22.77,135,top
C1-6,LED0603_NOOUTLINE,LED_0603_1608Metric,8.89,-25.31,135,top
C1-7,LED0603_NOOUTLINE,LED_0603_1608Metric,8.89,-27.85,135,top
C1-8,LED0603_NOOUTLINE,LED_0603_1608Metric,8.89,-30.39,135,top
C2-1,LED0603_NOOUTLINE,LED_0603_1608Metric,6.35,-12.61,135,top
C2-2,LED0603_NOOUTLINE,LED_0603_1608Metric,6.35,-15.15,135,top
C2-3,LED0603_NOOUTLINE,LED_0603_1608Metric,6.35,-17.69,135,top
C2-4,LED0603_NOOUTLINE,LED_0603_1608Metric,6.35,-20.229999,135,top
C2-5,LED0603_NOOUTLINE,LED_0603_1608Metric,6.35,-22.770001,135,top
C2-6,LED0603_NOOUTLINE,LED_0603_1608Metric,6.35,-25.31,135,top
C2-7,LED0603_NOOUTLINE,LED_0603_1608Metric,6.35,-27.85,135,top
C2-8,LED0603_NOOUTLINE,LED_0603_1608Metric,6.35,-30.39,135,top
C3-1,LED0603_NOOUTLINE,LED_0603_1608Metric,3.81,-12.61,135,top
C3-2,LED0603_NOOUTLINE,LED_0603_1608Metric,3.81,-15.15,135,top
C3-3,LED0603_NOOUTLINE,LED_0603_1608Metric,3.81,-17.69,135,top
C3-4,LED0603_NOOUTLINE,LED_0603_1608Metric,3.81,-20.23,135,top
C3-5,LED0603_NOOUTLINE,LED_0603_1608Metric,3.81,-22.77,135,top
C3-6,LED0603_NOOUTLINE,LED_0603_1608Metric,3.81,-25.31,135,top
C3-7,LED0603_NOOUTLINE,LED_0603_1608Metric,3.81,-27.85,135,top
C3-8,LED0603_NOOUTLINE,LED_0603_1608Metric,3.81,-30.39,135,top
C4-1,LED0603_NOOUTLINE,LED_0603_1608Metric,1.27,-12.61,135,top
C4-2,LED0603_NOOUTLINE,LED_0603_1608Metric,1.270001,-15.15,135,top
C4-3,LED0603_NOOUTLINE,LED_0603_1608Metric,1.27,-17.69,135,top
C4-4,LED0603_NOOUTLINE,LED_0603_1608Metric,1.27,-20.23,135,top
C4-5,LED0603_NOOUTLINE,LED_0603_1608Metric,1.27,-22.77,135,top
C4-6,LED0603_NOOUTLINE,LED_0603_1608Metric,1.27,-25.31,135,top
C4-7,LED0603_NOOUTLINE,LED_0603_1608Metric,1.270001,-27.85,135,top
C4-8,LED0603_NOOUTLINE,LED_0603_1608Metric,1.27,-30.39,135,top
C5-1,LED0603_NOOUTLINE,LED_0603_1608Metric,-1.27,-12.61,135,top
C5-2,LED0603_NOOUTLINE,LED_0603_1608Metric,-1.270001,-15.15,135,top
C5-3,LED0603_NOOUTLINE,LED_0603_1608Metric,-1.27,-17.69,135,top
C5-4,LED0603_NOOUTLINE,LED_0603_1608Metric,-1.27,-20.23,135,top
C5-5,LED0603_NOOUTLINE,LED_0603_1608Metric,-1.27,-22.77,135,top
C5-6,LED0603_NOOUTLINE,LED_0603_1608Metric,-1.27,-25.31,135,top
C5-7,LED0603_NOOUTLINE,LED_0603_1608Metric,-1.270001,-27.85,135,top
C5-8,LED0603_NOOUTLINE,LED_0603_1608Metric,-1.27,-30.39,135,top
C6-1,LED0603_NOOUTLINE,LED_0603_1608Metric,-3.81,-12.61,135,top
C6-2,LED0603_NOOUTLINE,LED_0603_1608Metric,-3.81,-15.15,135,top
C6-3,LED0603_NOOUTLINE,LED_0603_1608Metric,-3.81,-17.69,135,top
C6-4,LED0603_NOOUTLINE,LED_0603_1608Metric,-3.81,-20.23,135,top
C6-5,LED0603_NOOUTLINE,LED_0603_1608Metric,-3.81,-22.77,135,top
C6-6,LED0603_NOOUTLINE,LED_0603_1608Metric,-3.81,-25.31,135,top
C6-7,LED0603_NOOUTLINE,LED_0603_1608Metric,-3.81,-27.85,135,top
C6-8,LED0603_NOOUTLINE,LED_0603_1608Metric,-3.81,-30.39,135,top
C7-1,LED0603_NOOUTLINE,LED_0603_1608Metric,-6.35,-12.61,135,top
C7-2,LED0603_NOOUTLINE,LED_0603_1608Metric,-6.35,-15.15,135,top
C7-3,LED0603_NOOUTLINE,LED_0603_1608Metric,-6.35,-17.69,135,top
C7-4,LED0603_NOOUTLINE,LED_0603_1608Metric,-6.35,-20.229999,135,top
C7-5,LED0603_NOOUTLINE,LED_0603_1608Metric,-6.35,-22.770001,135,top
C7-6,LED0603_NOOUTLINE,LED_0603_1608Metric,-6.35,-25.31,135,top
C7-7,LED0603_NOOUTLINE,LED_0603_1608Metric,-6.35,-27.85,135,top
C7-8,LED0603_NOOUTLINE,LED_0603_1608Metric,-6.35,-30.39,135,top
C8-1,LED0603_NOOUTLINE,LED_0603_1608Metric,-8.89,-12.61,135,top
C8-2,LED0603_NOOUTLINE,LED_0603_1608Metric,-8.89,-15.15,135,top
C8-3,LED0603_NOOUTLINE,LED_0603_1608Metric,-8.89,-17.69,135,top
C8-4,LED0603_NOOUTLINE,LED_0603_1608Metric,-8.89,-20.23,135,top
C8-5,LED0603_NOOUTLINE,LED_0603_1608Metric,-8.89,-22.77,135,top
C8-6,LED0603_NOOUTLINE,LED_0603_1608Metric,-8.89,-25.31,135,top
C8-7,LED0603_NOOUTLINE,LED_0603_1608Metric,-8.89,-27.85,135,top
C8-8,LED0603_NOOUTLINE,LED_0603_1608Metric,-8.89,-30.39,135,top
D14,VSMY14940,vsmy14940,6.7188,33,0,top
D15,VSMY14940,vsmy14940,-3.2662,33,0,top
R36,24,R_0805_2012Metric,2.8076,33,0,top
R37,24,R_0805_2012Metric,-7.1262,33,0,top
SW4,SW_Push,SW_Push_1TS009xxxx-xxxx-xxxx_6x6x5mm,22.5,-14,-45,top
SW5,SW_Push,SW_Push_1TS009xxxx-xxxx-xxxx_6x6x5mm,22.5,-25,-45,top
SW6,SW_Push,SW_Push_1TS009xxxx-xxxx-xxxx_6x6x5mm,16.5,-19.5,45,top
SW7,SW_Push,SW_Push_1TS009xxxx-xxxx-xxxx_6x6x5mm,28.5,-19.5,-135,top
U6,p2765,JOYSTICK_ANALOG_MINITHM,-22.5,-19.5,0,top
